LAD11CD,residential_sale_2001_la,residential__sale_2011_la,newlybuilt_sale_2001_la,newlybuilt_sale_2011_la,newlybuilt_sale_2001_la_pct,newlybuilt_sale_2011_la_pct
W06000006,2348,1125,326,164,0.138841567,0.145777778
W06000008,1283,667,64,18,0.049883087,0.026986507
W06000009,2346,1211,116,86,0.049445865,0.07101569
W06000010,3016,1796,118,330,0.039124668,0.183741648
W06000011,4688,2474,581,382,0.123933447,0.154405821
W06000012,2396,1333,416,193,0.173622705,0.144786197
W06000013,3176,1500,562,213,0.176952141,0.142
W06000014,3224,1415,533,39,0.165322581,0.027561837
W06000015,7739,4052,843,417,0.108928802,0.102912142
W06000016,4403,2354,440,233,0.099931865,0.098980459
W06000018,3352,1580,390,156,0.116348449,0.098734177
W06000019,906,533,28,33,0.030905077,0.061913696
W06000020,1452,796,97,109,0.066804408,0.136934673
W06000021,1827,1054,266,111,0.14559387,0.105313093
W06000022,3034,1283,502,113,0.165458141,0.088074825
W06000023,2097,1166,250,48,0.11921793,0.041166381
W06000024,836,453,52,37,0.062200957,0.081677704
