LAD11NM,all_households_2001_la,no_children_2001_la,dependent_children_2001_la,nondependent_children_2001_la,no_children_2001_la_pct,dependent_children_2001_la_pct,nondependent_children_2001_la_pct
Gedling,47556,9572,13882,4835,0.201278493,0.291908487,0.101669611
Mansfield,41601,7966,12305,4042,0.191485782,0.295786159,0.097161126
Newark and Sherwood,44465,9333,12963,4157,0.209895423,0.291532666,0.093489261
Rushcliffe,43670,9276,13339,3671,0.212411266,0.305449966,0.084062285
"Herefordshire, County of",74282,14529,20329,6673,0.195592472,0.273673299,0.089833338
Shropshire,117301,24008,32964,11360,0.204670037,0.281020622,0.096844869
Stoke-on-Trent,103196,17374,28641,10567,0.168359239,0.277539827,0.10239738
Telford and Wrekin,63768,12626,20765,6347,0.197998996,0.325633547,0.099532681
Cannock Chase,37101,7589,11860,4053,0.204549743,0.319667933,0.109242338
East Staffordshire,42717,8680,12965,3878,0.20319779,0.303509142,0.090783529
Lichfield,37498,8515,11260,4169,0.227078778,0.300282682,0.111179263
Newcastle-under-Lyme,50738,9698,14321,5418,0.191138791,0.282253932,0.10678387
South Staffordshire,41974,8933,12968,4979,0.212822223,0.308953161,0.118621051
Stafford,50025,10870,14526,4857,0.217291354,0.290374813,0.097091454
Staffordshire Moorlands,38799,8239,10993,4527,0.212350834,0.283332045,0.116678265
Tamworth,29379,5969,10135,3354,0.203172334,0.344974301,0.114163178
North Warwickshire,25173,5338,7605,2887,0.212052596,0.302109403,0.11468637
Nuneaton and Bedworth,48683,9260,14908,5234,0.190210135,0.306225993,0.107511862
Rugby,36483,7506,10771,3316,0.20573966,0.295233396,0.090891648
Stratford-on-Avon,47202,10550,13189,4406,0.223507478,0.279416126,0.093343502
Warwick,53356,10361,15072,4494,0.194186221,0.282479946,0.084226704
Birmingham,390792,48782,114487,36769,0.124828553,0.292961473,0.094088415
Coventry,122353,17662,35414,11533,0.144352815,0.289441207,0.094260051
Dudley,124988,22580,36016,15572,0.180657343,0.288155663,0.12458796
Sandwell,115426,16814,32729,13301,0.145669087,0.283549634,0.115234003
Solihull,80930,14249,24626,8963,0.176065736,0.304287656,0.110750031
Walsall,101333,16704,29425,11859,0.164842648,0.290379245,0.11702999
Wolverhampton,97122,13521,26523,10693,0.139216655,0.273089516,0.110098639
Bromsgrove,35170,7204,10659,3831,0.204833665,0.303070799,0.108928064
Malvern Hills,30070,6268,7815,2709,0.208446957,0.259893582,0.09008979
Redditch,31652,6370,10325,3418,0.201251106,0.326203715,0.107986857
Worcester,39060,7988,11946,3311,0.204505888,0.305837174,0.084767025
Wychavon,46819,10395,13722,4435,0.222025246,0.29308614,0.0947265
Wyre Forest,40280,8226,11479,4594,0.204220457,0.284980139,0.114051639
Bedford,59597,11231,17737,5379,0.188449083,0.297615652,0.090256221
Central Bedfordshire,94267,20327,30836,8814,0.215632194,0.327113412,0.093500377
Luton,70755,10697,21911,6964,0.151183662,0.309674228,0.09842414
Peterborough,65380,12156,19931,5493,0.185928418,0.304848578,0.084016519
Southend-on-Sea,70978,11250,19360,5925,0.158499817,0.272760574,0.08347657
Thurrock,58485,11011,18487,6443,0.188270497,0.316098145,0.110165
Cambridge,42658,7216,10578,2816,0.16915936,0.247972244,0.066013409
East Cambridgeshire,29780,6959,9009,2673,0.233680322,0.302518469,0.089758227
Fenland,35192,7376,9597,3062,0.209593089,0.272704024,0.087008411
Huntingdonshire,63062,14642,20658,5369,0.2321842,0.327582379,0.085138435
South Cambridgeshire,52181,11892,16778,4696,0.227899044,0.321534658,0.089994442
Basildon,69207,12807,21192,7228,0.185053535,0.306211799,0.104440302
Braintree,54330,11535,17094,5183,0.212313639,0.3146328,0.095398491
Brentwood,28767,5370,8416,2840,0.186672229,0.292557444,0.098724233
Castle Point,35280,6865,9824,4264,0.194586168,0.27845805,0.120861678
Chelmsford,64564,12919,20072,6330,0.200096029,0.310885323,0.098042253
Colchester,63706,12723,18900,5709,0.199714313,0.296675352,0.089614793
Epping Forest,50590,9170,14460,5613,0.181261119,0.285827239,0.110950781
Harlow,33185,5675,10000,3250,0.171010999,0.301340967,0.097935814
Maldon,24189,5285,7309,2358,0.218487742,0.30216214,0.097482327
Rochford,31952,6437,9450,3485,0.201458438,0.295756134,0.109069855
Tendring,61411,10713,13689,5123,0.174447575,0.222907948,0.083421537
Uttlesford,27519,6059,8643,2617,0.220175152,0.314073913,0.095097932
Broxbourne,34933,6245,11069,4380,0.17877079,0.316863711,0.125382876
Dacorum,55908,10559,17677,5453,0.188863848,0.316180153,0.097535236
East Hertfordshire,52084,11228,17081,4843,0.215574841,0.327951002,0.09298441
Hertsmere,37869,6372,11765,4073,0.168264279,0.310676279,0.107554992
North Hertfordshire,48810,9633,14939,4203,0.197357099,0.306064331,0.086109404
St Albans,52659,10377,16869,4616,0.197060332,0.320344101,0.08765833
Stevenage,32754,5870,10553,2870,0.179214752,0.322189656,0.087622886
Three Rivers,33439,6083,10385,3502,0.181913335,0.310565507,0.104728012
Watford,32350,5749,9902,3173,0.177712519,0.306089645,0.098083462
