MSOA11CD,residents_all_2011,migrants_2011,migrants_2011_pct
E02002594,5465,373,0.068252516
E02002595,7920,612,0.077272727
E02002596,8503,528,0.062095731
E02002597,9001,585,0.064992779
E02002598,7690,684,0.088946684
E02002599,10910,773,0.070852429
E02002600,9183,727,0.079168028
E02002601,7931,410,0.051695877
E02002602,7345,717,0.097617427
E02002603,7156,324,0.045276691
E02002604,7693,352,0.045755882
E02002605,9234,494,0.053497942
E02002606,10174,1459,0.143404757
E02002607,9964,1263,0.126756323
E02002608,8543,362,0.042373873
E02002609,8134,813,0.099950824
E02002610,12350,755,0.061133603
E02002611,7952,467,0.058727364
E02002612,9352,692,0.073994867
E02002613,6398,634,0.099093467
E02002614,6096,311,0.05101706
E02003965,10902,429,0.039350578
E02003966,7063,369,0.052244089
E02003967,8285,383,0.046228123
E02003968,8619,429,0.049773756
E02003969,6690,344,0.05142003
E02003970,7750,661,0.085290323
E02003971,8021,460,0.057349458
E02003972,9232,540,0.058492201
E02003973,8751,489,0.055879328
E02003974,7796,427,0.054771678
E02003975,6455,361,0.055925639
E02003976,6858,357,0.052055993
E02003977,6407,365,0.05696894
E02003978,5935,353,0.059477675
E02003979,7709,421,0.054611493
E02003980,6705,514,0.07665921
E02003981,6829,496,0.072631425
E02003982,7594,428,0.056360284
E02003983,7733,516,0.066727014
E02003984,6908,775,0.112188767
E02003985,6679,401,0.060038928
E02003986,6588,450,0.068306011
E02003987,6056,240,0.039630119
E02003988,6629,413,0.062302006
E02003989,7609,467,0.061374688
E02003990,9757,627,0.064261556
E02003991,7721,384,0.04973449
E02003992,8594,1360,0.158249942
E02003993,8582,483,0.056280587
E02003994,7515,761,0.101264138
E02003995,9494,651,0.068569623
E02003996,9698,1250,0.128892555
E02003997,9581,658,0.068677591
E02003998,6908,436,0.063115229
E02003999,9380,615,0.065565032
E02004000,5506,348,0.063203778
E02004001,5612,386,0.068781183
E02004002,10332,542,0.052458382
E02004003,12019,545,0.045344871
E02004004,9398,360,0.038306023
E02004005,8194,367,0.04478887
E02004006,9044,457,0.050530739
E02004007,10498,595,0.056677462
E02004008,6394,339,0.053018455
E02004009,6078,481,0.079137874
E02004010,7119,602,0.084562439
E02004011,9815,660,0.067244014
E02004012,5666,412,0.072714437
E02004013,9903,485,0.048975058
E02004014,7589,323,0.042561602
E02004015,6494,591,0.091007083
E02004016,8401,542,0.064516129
E02004017,8391,582,0.069360029
E02004018,8147,732,0.089849024
E02004019,7993,499,0.062429626
E02004020,8283,508,0.061330436
E02004021,5276,423,0.080174375
E02004022,5575,331,0.059372197
E02004023,6245,492,0.078783026
E02004024,7185,418,0.058176757
E02004025,8073,479,0.059333581
E02004026,8022,535,0.066691598
E02004027,7814,454,0.058100845
E02004028,7759,432,0.055677278
E02000984,7782,470,0.060395785
E02000985,7569,415,0.054828907
E02000986,8365,661,0.079019725
E02000987,7195,538,0.074774149
E02000988,8407,640,0.076127037
E02000989,8242,411,0.049866537
E02000990,7636,503,0.065872184
E02000991,7682,539,0.07016402
E02000992,5781,356,0.061581041
E02000993,7142,686,0.096051526
E02000994,7914,669,0.084533738
E02000995,8163,484,0.059291927
E02000996,7869,566,0.071927818
E02000997,5676,393,0.069238901
E02000998,8613,994,0.115406943
E02000999,7435,1118,0.150369872
E02001000,9145,949,0.103772553
E02001001,8101,771,0.095173435
E02001002,9445,581,0.061514029
E02001003,7277,382,0.05249416
E02001004,8240,591,0.071723301
E02001005,7937,883,0.111251102
E02001006,7709,604,0.078349981
E02001007,10271,493,0.047999221
E02001008,8140,645,0.079238329
E02001009,6689,621,0.092838989
E02001010,5867,569,0.096983126
E02001011,9855,670,0.067985794
E02001012,7833,524,0.066896464
E02001013,6029,395,0.065516669
E02001014,8168,513,0.062806072
E02001015,7913,720,0.090989511
E02001016,8243,622,0.075457964
E02001017,10849,628,0.057885519
E02001018,7604,462,0.060757496
E02001019,8967,643,0.071707371
E02001020,5933,386,0.065059835
E02001021,7806,570,0.073020753
E02001022,7860,549,0.069847328
E02001023,5833,362,0.062060689
E02001024,8083,438,0.054187802
E02001025,7608,635,0.083464774
E02001026,8964,928,0.103525212
E02001027,6787,766,0.112862826
E02001028,7430,284,0.038223419
E02001029,6974,583,0.083596215
E02001030,5817,318,0.054667354
E02001031,6464,431,0.06667698
E02001032,7552,483,0.063956568
E02001033,5613,454,0.080883663
E02001034,7766,827,0.106489827
E02001035,7200,293,0.040694444
E02001036,7253,557,0.076795809
E02001037,7118,452,0.063500983
E02001038,5568,522,0.09375
E02001039,8174,508,0.062148275
E02001040,6020,387,0.064285714
E02001041,7616,662,0.086922269
E02001042,6193,582,0.093977071
E02001043,5468,450,0.082297001
E02001044,8993,462,0.05137329
E02001045,7927,512,0.064589378
E02001046,9390,723,0.076996805
E02001047,9870,853,0.086423506
E02001048,8473,736,0.086864157
E02001049,9633,707,0.073393543
E02001050,7166,826,0.115266536
E02001051,8038,812,0.101020154
E02001052,12771,1174,0.091927022
E02001053,10042,982,0.097789285
E02001055,8601,747,0.086850366
E02001056,8169,665,0.081405313
E02001057,8107,1782,0.219810041
E02001059,9802,1354,0.138135074
E02001061,9002,921,0.102310598
E02001062,9958,1854,0.186181964
E02001063,10560,3323,0.31467803
E02001064,9127,799,0.087542456
E02001065,8679,920,0.106002996
E02001066,11925,3849,0.322767296
E02001067,9514,1043,0.109627917
E02001068,9667,887,0.091755457
E02001069,10996,2616,0.237904693
E02001070,11895,4129,0.347120639
E02001071,13251,1346,0.101577239
E02001072,8606,1423,0.165349756
E02001073,9688,1356,0.139966969
E02001074,11579,1423,0.122894896
E02001075,8272,1116,0.134912959
E02001076,11579,5706,0.492788669
E02001077,7750,1028,0.132645161
E02001078,10474,1068,0.101966775
E02001079,8982,1966,0.218882209
E02001080,9532,3847,0.403587914
E02001081,6213,723,0.116368904
E02001082,6792,1972,0.290341578
E02001083,7924,2116,0.26703685
E02001084,8620,2126,0.246635731
E02001085,8241,560,0.067952918
E02001086,6594,1005,0.152411283
E02001087,9467,1577,0.166578642
E02001088,8891,695,0.078168935
E02001089,8017,879,0.109642011
E02001090,6686,570,0.085252767
