MSOA01CD,NS-SeC_all_2001,NS-SeC_higher_2001,NS-SeC_higher_2001_pct
E02003856,6949,2179,0.313570298
E02003857,4407,1830,0.415248468
E02003858,4358,2080,0.477283157
E02003859,7975,2967,0.372037618
E02003860,4859,2086,0.429306442
E02003861,4494,1420,0.315976858
E02003862,3602,1555,0.431704609
E02003863,4602,2021,0.439156888
E02003864,5150,2259,0.438640777
E02003865,5304,1959,0.369343891
E02003866,4130,1835,0.444309927
E02003867,5180,2005,0.387065637
E02003868,5632,1515,0.26899858
E02003869,5300,1970,0.371698113
E02003870,7260,2549,0.351101928
E02003871,4952,1226,0.247576737
E02003872,6999,2590,0.370052865
E02003873,3880,851,0.219329897
E02003874,6552,2289,0.349358974
E02003875,4776,1780,0.372696817
E02003876,4007,961,0.239830297
E02003877,6472,2369,0.366038319
E02003878,5980,1798,0.300668896
E02003879,3763,817,0.217114005
E02003880,4580,1123,0.245196507
E02003881,4391,1116,0.254156229
E02003882,6376,1258,0.197302384
E02003883,6386,2974,0.465706232
E02003884,5481,2200,0.401386608
E02003885,4200,1476,0.351428571
E02003886,4117,771,0.187272286
E02003887,4235,1211,0.285950413
E02003888,4417,699,0.158252207
E02003889,3864,616,0.15942029
E02003890,4270,999,0.233957845
E02003891,4139,1484,0.35854071
E02003965,7417,1237,0.166779021
E02003966,5200,1331,0.255961538
E02003967,5864,1110,0.189290587
E02003968,6188,1085,0.175339367
E02003969,4753,432,0.090889964
E02003970,5124,1675,0.326893052
E02003971,5695,1757,0.308516242
E02003972,6471,1235,0.190851491
E02003973,5932,614,0.103506406
E02003974,5659,881,0.155681216
E02003975,4630,1050,0.226781857
E02003976,5129,1146,0.223435368
E02003977,4677,995,0.212743211
E02003978,4478,925,0.206565431
E02003979,5973,1648,0.275908254
E02003980,4850,560,0.115463918
E02003981,5240,1280,0.244274809
E02003982,5139,1125,0.218914186
E02003983,5619,702,0.124933262
E02003984,5087,528,0.103793985
E02003985,5090,834,0.163850688
E02003986,5075,852,0.167881773
E02003987,4329,810,0.187110187
E02003988,4529,1160,0.25612718
E02003989,5434,1404,0.258373206
E02003990,6203,1872,0.301789457
E02003991,5803,1417,0.244184043
E02003992,6225,1422,0.228433735
E02003993,6105,1933,0.316625717
E02003994,5217,897,0.171937895
E02003995,6283,767,0.122075442
E02003996,6522,1195,0.183226004
E02003997,6004,596,0.099267155
E02003998,4725,605,0.128042328
E02003999,6034,1409,0.233510109
E02004000,3742,647,0.172902191
E02004001,4071,828,0.203389831
E02004002,7433,1842,0.247813803
E02004003,8793,1703,0.193676788
E02004004,6883,778,0.113032108
E02004005,5666,980,0.172961525
E02004006,6276,1842,0.293499044
E02004007,7823,1361,0.173974179
E02004008,4473,1088,0.243237201
E02004009,4166,1078,0.258761402
E02004010,4725,785,0.166137566
E02004011,7004,1601,0.228583666
E02004012,4146,1090,0.262904004
E02004013,6750,1371,0.203111111
E02004014,5302,1019,0.192191626
E02004015,5493,1153,0.209903514
E02004016,6058,1469,0.24248927
E02004017,5897,1354,0.229608275
E02004018,5276,1307,0.24772555
E02004019,5762,1470,0.25511975
E02004020,5933,1563,0.263441766
E02004021,4084,1138,0.278648384
E02004022,4509,1346,0.298514083
E02004023,4314,1093,0.25336115
E02004024,5157,1631,0.316269149
E02004025,5374,1405,0.26144399
E02004026,5580,1329,0.238172043
E02004027,5188,1221,0.23535081
E02004028,5602,1714,0.305962156
E02000984,5559,2259,0.406368052
E02000985,5807,2190,0.377131049
E02000986,5509,1688,0.306407696
E02000987,5094,1212,0.237926973
E02000988,5594,1089,0.194672864
E02000989,6535,2099,0.321193573
E02000990,5236,1668,0.318563789
E02000991,5495,1434,0.260964513
E02000992,4169,1145,0.274646198
E02000993,3983,491,0.123273914
E02000994,4951,585,0.118157948
E02000995,5481,1540,0.280970626
E02000996,5002,763,0.152538984
E02000997,4205,1354,0.321997622
E02000998,5592,878,0.157010014
E02000999,4313,374,0.086714584
E02001000,6298,1093,0.173547158
E02001001,5090,1526,0.299803536
E02001002,6740,1451,0.215281899
E02001003,5476,2257,0.412162162
E02001004,5006,504,0.100679185
E02001005,4957,781,0.157554973
E02001006,5040,691,0.137103175
E02001007,7522,1623,0.215767083
E02001008,4535,528,0.116427784
E02001009,4380,717,0.16369863
E02001010,4032,657,0.162946429
E02001011,5941,2012,0.338663525
E02001012,5348,1018,0.190351533
E02001013,4312,1506,0.349257885
E02001014,5621,1231,0.219000178
E02001015,5049,865,0.171321054
E02001016,5056,662,0.130933544
E02001017,7356,1630,0.221587819
E02001018,5462,1811,0.33156353
E02001019,6419,2054,0.319987537
E02001020,4477,1683,0.375921376
E02001021,5592,2328,0.416309013
E02001022,5423,1494,0.275493269
E02001023,4146,1318,0.317896768
E02001024,5694,1716,0.301369863
E02001025,5110,960,0.187866928
E02001026,5991,785,0.131029878
E02001027,4333,970,0.223863374
E02001028,5883,2049,0.348291688
E02001029,4523,896,0.198098607
E02001030,4386,1427,0.325353397
E02001031,4247,1069,0.251707087
E02001032,5626,1296,0.230359047
E02001033,3965,833,0.210088272
E02001034,5204,804,0.154496541
E02001035,5563,1754,0.315297501
E02001036,4401,998,0.226766644
E02001037,5517,2014,0.365053471
E02001038,3959,1022,0.258145996
E02001039,5389,1085,0.201336055
E02001040,4604,1434,0.311468288
E02001041,5310,1417,0.266854991
E02001042,4461,1491,0.334229993
E02001043,3784,1169,0.308932347
E02001044,5323,1803,0.338718768
E02001045,5006,737,0.147223332
E02001046,5394,819,0.151835373
E02001047,5469,778,0.142256354
E02001048,5002,1083,0.216513395
E02001049,6409,1174,0.183179903
E02001050,3983,629,0.157921165
E02001051,5459,893,0.163583074
E02001052,5907,923,0.15625529
E02001053,5079,533,0.104941918
E02001054,5591,770,0.137721338
E02001055,5363,704,0.131269812
E02001056,5073,507,0.099940863
E02001057,4158,414,0.0995671
E02001058,5196,1219,0.234603541
E02001059,4919,509,0.103476316
E02001060,4851,1143,0.235621521
E02001061,5334,646,0.121109861
E02001062,5458,617,0.113045071
E02001063,5266,970,0.184200532
E02001064,4881,592,0.121286622
E02001065,5338,840,0.157362308
E02001066,6427,908,0.141278979
E02001067,4578,529,0.115552643
E02001068,4143,496,0.11972001
E02001069,5534,820,0.148174919
E02001070,7135,993,0.13917309
E02001071,6406,1008,0.157352482
E02001072,4660,1359,0.291630901
E02001073,6720,2668,0.39702381
E02001074,6439,1290,0.200341668
E02001075,4673,964,0.206291462
E02001076,8616,905,0.10503714
E02001077,5304,2259,0.425904977
E02001078,6686,1588,0.237511217
E02001079,5524,907,0.164192614
E02001080,6643,1253,0.1886196
E02001081,4520,1961,0.433849558
E02001082,5056,1986,0.392800633
E02001083,4896,2036,0.415849673
E02001084,5762,1910,0.331482124
E02001085,4979,661,0.132757582
E02001086,3920,1125,0.286989796
E02001087,6772,3631,0.536178382
E02001088,5344,962,0.18001497
E02001089,5170,1866,0.360928433
E02001090,4598,1407,0.30600261
E02001091,5451,1392,0.255365988
E02001092,4996,888,0.177742194
E02001093,4802,795,0.165556018
E02001094,4981,480,0.096366192
E02001095,4979,703,0.141193011
E02001096,5104,1030,0.201802508
E02001097,5040,775,0.153769841
E02001098,4773,1192,0.24973811
E02001099,4446,1076,0.242015295
E02001100,4490,1259,0.280400891
E02001101,4661,1371,0.294142888
E02001102,4314,1092,0.253129346
E02001103,3908,1611,0.41223132
E02001104,4814,1216,0.252596593
E02001105,4237,1024,0.241680434
E02001106,4331,1083,0.250057723
E02001107,4215,1022,0.242467378
E02001108,3916,477,0.121807967
E02001109,5168,973,0.188273994
E02001110,4416,1825,0.413269928
E02001111,4005,384,0.09588015
E02001112,4717,1453,0.308034768
E02001113,5317,471,0.088583788
E02001114,5194,1068,0.205621871
E02001115,4260,1075,0.252347418
E02001116,4031,724,0.179608038
E02001117,4116,1468,0.356656948
E02001118,4454,1499,0.336551414
E02001119,5579,510,0.091414232
E02001120,4143,387,0.093410572
E02001121,4118,453,0.110004857
E02001122,4343,741,0.170619388
E02001123,4090,672,0.164303178
E02001124,3841,553,0.143972924
E02001125,5449,1063,0.195081666
E02001126,4748,499,0.105096883
E02001127,4567,622,0.136194438
E02001128,5445,956,0.175573921
E02001129,3973,655,0.164862824
E02001130,4333,994,0.229402262
E02001131,4190,769,0.18353222
E02001132,4495,1090,0.242491657
E02001133,4538,1329,0.292860291
E02001134,4605,1552,0.337024973
E02001135,4737,665,0.140384209
E02001136,6532,1679,0.257042254
E02001137,4681,1724,0.368297372
E02001138,6673,2505,0.375393376
E02001139,6154,654,0.106272343
E02001140,4990,924,0.185170341
E02001141,7326,975,0.133087633
E02001142,4340,1665,0.383640553
E02001143,6377,1007,0.157911244
E02001144,4352,1139,0.26171875
E02001145,5133,1385,0.269822716
E02001146,5455,617,0.113107241
E02001147,5606,1085,0.193542633
E02001148,7013,1491,0.212605162
E02001149,6773,942,0.139081648
E02001150,6146,1026,0.166937846
E02001151,6706,1688,0.251714882
E02001152,6327,1255,0.198356251
E02001153,6536,765,0.117044064
E02001154,7232,1255,0.173534292
E02001155,4995,1048,0.20980981
E02001156,7346,1958,0.266539613
E02001157,4871,570,0.117019093
E02001158,4255,606,0.142420682
E02001159,3486,675,0.19363167
E02001160,4165,665,0.159663866
E02001161,4100,819,0.199756098
E02001162,4214,771,0.182961557
E02001163,6817,1877,0.275341059
E02001164,4221,695,0.164652926
E02001165,4366,871,0.199496106
E02001166,3582,1006,0.280848688
E02001167,4006,1009,0.251872192
E02001168,6548,1393,0.212736714
E02001169,8108,3356,0.413912185
E02001170,6970,2645,0.379483501
E02001171,4226,1047,0.247752011
E02001172,6309,871,0.138056744
E02001173,6473,648,0.100108142
E02001174,4203,1020,0.242683797
E02001175,5044,1034,0.204996035
E02001176,7203,2150,0.298486742
E02001177,7726,1665,0.215506083
E02001178,5343,1135,0.212427475
E02001179,4186,582,0.139034878
E02001180,4673,542,0.115985448
E02001181,3698,601,0.162520281
E02001182,4256,742,0.174342105
E02001183,4226,773,0.182915286
E02001184,4625,1221,0.264
E02001185,7200,1399,0.194305556
E02001186,6276,1132,0.180369662
E02001187,5352,1140,0.213004484
E02001188,5169,943,0.18243374
E02001189,6330,1568,0.247709321
E02001190,4383,477,0.108829569
E02001191,4324,1186,0.274283071
E02001192,4734,1942,0.410223912
E02001193,4525,966,0.213480663
E02001194,4340,1905,0.438940092
E02001195,5614,1368,0.243676523
E02001196,5495,1672,0.304276615
E02001197,4546,1596,0.351077871
E02001198,5335,1233,0.231115276
E02001199,5891,2640,0.448141232
E02001200,4510,748,0.165853659
E02001201,4372,1052,0.240622141
E02001202,4512,1035,0.229388298
E02001203,4379,1933,0.441424983
E02001204,6566,1844,0.280840694
E02001205,5756,1362,0.236622655
E02001206,5032,1664,0.330683625
E02001207,5371,1697,0.31595606
E02001208,5193,1608,0.309647603
E02001209,5151,1593,0.309260338
E02001210,4922,900,0.182852499
E02001211,3961,1598,0.403433476
E02001212,3998,697,0.174337169
E02001213,6533,2239,0.342721567
