MSOA01CD,qualification_all_2001,qualification_2001,qualification_2001_pct
E02003841,5159,1325,0.25683272
E02003842,4111,1387,0.337387497
E02003843,4426,521,0.117713511
E02003844,5168,1236,0.239164087
E02003845,5144,370,0.07192846
E02003846,4738,385,0.081257915
E02003847,7279,1630,0.223931859
E02003848,3915,324,0.082758621
E02003849,4584,273,0.059554974
E02003850,4287,476,0.111033357
E02003851,4616,793,0.171793761
E02003852,5446,877,0.161035622
E02003853,4243,1238,0.291774688
E02003854,4655,1263,0.27132116
E02003855,4947,1406,0.284212654
E02003856,6949,1587,0.228378184
E02003857,4407,1315,0.298388927
E02003858,4358,1874,0.430013768
E02003859,7975,2158,0.270595611
E02003860,4859,1751,0.360362214
E02003861,4494,1122,0.249666222
E02003862,3602,1342,0.372570794
E02003863,4602,1932,0.419817471
E02003864,5150,1955,0.37961165
E02003865,5304,1490,0.28092006
E02003866,4130,1359,0.32905569
E02003867,5180,1330,0.256756757
E02003868,5632,1117,0.198330966
E02003869,5300,1483,0.279811321
E02003870,7260,1827,0.251652893
E02003871,4952,782,0.157915994
E02003872,6999,2073,0.296185169
E02003873,3880,549,0.141494845
E02003874,6552,1944,0.296703297
E02003875,4776,1414,0.296063652
E02003876,4007,583,0.145495383
E02003877,6472,1989,0.307323857
E02003878,5980,1123,0.187792642
E02003879,3763,468,0.124368855
E02003880,4580,756,0.165065502
E02003881,4391,699,0.159189251
E02003882,6376,736,0.115432873
E02003883,6386,2182,0.341684936
E02003884,5481,1898,0.346287174
E02003885,4200,1006,0.23952381
E02003886,4117,392,0.095214962
E02003887,4235,708,0.167178276
E02003888,4417,341,0.077201721
E02003889,3864,382,0.098861284
E02003890,4270,560,0.131147541
E02003891,4139,1220,0.294757188
E02003965,7417,941,0.126870702
E02003966,5200,1169,0.224807692
E02003967,5864,866,0.147680764
E02003968,6188,734,0.118616677
E02003969,4753,297,0.06248685
E02003970,5124,1545,0.301522248
E02003971,5695,1606,0.282001756
E02003972,6471,822,0.12702828
E02003973,5932,362,0.061024949
E02003974,5659,506,0.089415091
E02003975,4630,704,0.152051836
E02003976,5129,1300,0.253460714
E02003977,4677,695,0.14859953
E02003978,4478,625,0.139571237
E02003979,5973,1302,0.217980914
E02003980,4850,377,0.077731959
E02003981,5240,897,0.171183206
E02003982,5139,785,0.152753454
E02003983,5619,466,0.082932906
E02003984,5087,393,0.07725575
E02003985,5090,569,0.111787819
E02003986,5075,539,0.106206897
E02003987,4329,544,0.125664126
E02003988,4529,932,0.205784941
E02003989,5434,997,0.18347442
E02003990,6203,1427,0.230049976
E02003991,5803,870,0.149922454
E02003992,6225,1276,0.20497992
E02003993,6105,1566,0.256511057
E02003994,5217,596,0.114241901
E02003995,6283,451,0.071780996
E02003996,6522,746,0.114382091
E02003997,6004,346,0.057628248
E02003998,4725,374,0.079153439
E02003999,6034,1043,0.172853828
E02004000,3742,460,0.122928915
E02004001,4071,619,0.152051093
E02004002,7433,1329,0.178797255
E02004003,8793,1188,0.135107472
E02004004,6883,485,0.070463461
E02004005,5666,661,0.116660784
E02004006,6276,1788,0.284894837
E02004007,7823,983,0.12565512
E02004008,4473,1044,0.233400402
E02004009,4166,941,0.22587614
E02004010,4725,515,0.108994709
E02004011,7004,1193,0.170331239
E02004012,4146,1072,0.25856247
E02004013,6750,1211,0.179407407
E02004014,5302,975,0.183892871
E02004015,5493,1341,0.244128891
E02004016,6058,1373,0.226642456
E02004017,5897,1052,0.178395794
E02004018,5276,1192,0.225928734
E02004019,5762,1169,0.202880944
E02004020,5933,1152,0.194168212
E02004021,4084,1100,0.269343781
E02004022,4509,1373,0.304502107
E02004023,4314,1103,0.255679184
E02004024,5157,1576,0.305604033
E02004025,5374,1310,0.243766282
E02004026,5580,1171,0.209856631
E02004027,5188,1310,0.252505783
E02004028,5602,1414,0.252409854
E02000984,5559,1621,0.291599208
E02000985,5807,1546,0.266230412
E02000986,5509,1181,0.214376475
E02000987,5094,850,0.166862976
E02000988,5594,729,0.130318198
E02000989,6535,1392,0.213006886
E02000990,5236,1100,0.210084034
E02000991,5495,1023,0.186169245
E02000992,4169,741,0.177740465
E02000993,3983,312,0.078332915
E02000994,4951,438,0.088466976
E02000995,5481,1255,0.228972815
E02000996,5002,472,0.094362255
E02000997,4205,990,0.235434007
E02000998,5592,705,0.126072961
E02000999,4313,381,0.088337584
E02001000,6298,766,0.121625913
E02001001,5090,1294,0.254223969
E02001002,6740,816,0.121068249
E02001003,5476,1846,0.337107378
E02001004,5006,525,0.104874151
E02001005,4957,606,0.122251362
E02001006,5040,537,0.106547619
E02001007,7522,829,0.110210051
E02001008,4535,406,0.08952591
E02001009,4380,438,0.1
E02001010,4032,376,0.093253968
E02001011,5941,1271,0.213937048
E02001012,5348,632,0.118175019
E02001013,4312,1024,0.237476809
E02001014,5621,670,0.119195873
E02001015,5049,472,0.093483858
E02001016,5056,376,0.074367089
E02001017,7356,746,0.101413812
E02001018,5462,1055,0.193152691
E02001019,6419,1458,0.227138184
E02001020,4477,1262,0.281885191
E02001021,5592,1584,0.283261803
E02001022,5423,979,0.180527383
E02001023,4146,870,0.20984081
E02001024,5694,988,0.173515982
E02001025,5110,588,0.115068493
E02001026,5991,525,0.087631447
E02001027,4333,551,0.127163628
E02001028,5883,1298,0.22063573
E02001029,4523,552,0.122042892
E02001030,4386,831,0.189466484
E02001031,4247,612,0.144101719
E02001032,5626,649,0.11535727
E02001033,3965,418,0.105422446
E02001034,5204,401,0.077056111
E02001035,5563,1096,0.197015999
E02001036,4401,542,0.123153829
E02001037,5517,1415,0.256479971
E02001038,3959,684,0.172770902
E02001039,5389,610,0.113193542
E02001040,4604,955,0.207428323
E02001041,5310,1028,0.193596987
E02001042,4461,1114,0.249719794
E02001043,3784,835,0.220665962
E02001044,5323,1381,0.259440165
E02001045,5006,417,0.08330004
E02001046,5394,517,0.095847238
E02001047,5469,457,0.083561894
E02001048,5002,872,0.174330268
E02001049,6409,688,0.10734904
E02001050,3983,491,0.123273914
E02001051,5459,585,0.107162484
E02001052,5907,1174,0.198747249
E02001053,5079,444,0.087418783
E02001054,5591,874,0.156322661
E02001055,5363,392,0.073093418
E02001056,5073,310,0.061107826
E02001057,4158,340,0.081770082
E02001058,5196,1712,0.329484219
E02001059,4919,377,0.076641594
E02001060,4851,1382,0.284889713
E02001061,5334,393,0.07367829
E02001062,5458,1352,0.247709784
E02001063,5266,1666,0.316369161
E02001064,4881,608,0.124564638
E02001065,5338,462,0.086549269
E02001066,6427,1605,0.249727711
E02001067,4578,405,0.088466579
E02001068,4143,715,0.172580256
E02001069,5534,1373,0.248102638
E02001070,7135,2077,0.29110021
E02001071,6406,1213,0.189353731
E02001072,4660,1761,0.377896996
E02001073,6720,3077,0.457886905
E02001074,6439,1462,0.22705389
E02001075,4673,1108,0.237106784
E02001076,8616,1700,0.197307335
E02001077,5304,2505,0.472285068
E02001078,6686,1523,0.227789411
E02001079,5524,1034,0.187183201
E02001080,6643,1734,0.261026645
E02001081,4520,2039,0.451106195
E02001082,5056,2388,0.472310127
E02001083,4896,2529,0.516544118
E02001084,5762,2238,0.388406803
E02001085,4979,590,0.11849769
E02001086,3920,1219,0.310969388
E02001087,6772,3884,0.573538098
E02001088,5344,660,0.123502994
E02001089,5170,1819,0.351837524
E02001090,4598,1121,0.243801653
E02001091,5451,935,0.17152816
E02001092,4996,510,0.102081665
E02001093,4802,582,0.1211995
E02001094,4981,323,0.064846416
E02001095,4979,457,0.091785499
E02001096,5104,564,0.110501567
E02001097,5040,387,0.076785714
E02001098,4773,724,0.15168657
E02001099,4446,592,0.133153396
E02001100,4490,820,0.182628062
E02001101,4661,820,0.175927912
E02001102,4314,571,0.132359759
E02001103,3908,1188,0.303991812
E02001104,4814,644,0.133776485
E02001105,4237,553,0.130516875
E02001106,4331,596,0.137612561
E02001107,4215,602,0.14282325
E02001108,3916,225,0.057456588
E02001109,5168,515,0.099651703
E02001110,4416,1430,0.323822464
E02001111,4005,258,0.064419476
E02001112,4717,829,0.175747297
E02001113,5317,403,0.075794621
E02001114,5194,602,0.115902965
E02001115,4260,572,0.1342723
E02001116,4031,424,0.105184818
E02001117,4116,1194,0.290087464
E02001118,4454,1023,0.229681185
E02001119,5579,406,0.072772898
E02001120,4143,343,0.082790249
E02001121,4118,347,0.084264206
E02001122,4343,602,0.138613861
E02001123,4090,431,0.105378973
E02001124,3841,274,0.07133559
E02001125,5449,537,0.098550193
E02001126,4748,287,0.060446504
E02001127,4567,358,0.078388439
E02001128,5445,456,0.083746556
E02001129,3973,279,0.070224012
E02001130,4333,448,0.103392569
E02001131,4190,369,0.088066826
E02001132,4495,727,0.161735261
E02001133,4538,834,0.183781401
E02001134,4605,1023,0.222149837
E02001135,4737,423,0.089297023
E02001136,6532,1084,0.165952235
E02001137,4681,1087,0.232215339
E02001138,6673,1691,0.253409261
E02001139,6154,535,0.086935327
E02001140,4990,604,0.121042084
E02001141,7326,816,0.111384111
E02001142,4340,1339,0.308525346
E02001143,6377,634,0.09941979
E02001144,4352,693,0.159237132
E02001145,5133,827,0.161114358
E02001146,5455,601,0.110174152
E02001147,5606,616,0.109882269
E02001148,7013,872,0.12434051
E02001149,6773,489,0.072198435
E02001150,6146,499,0.081191019
E02001151,6706,931,0.138830898
E02001152,6327,705,0.111427217
E02001153,6536,445,0.068084455
E02001154,7232,533,0.073700221
E02001155,4995,590,0.118118118
E02001156,7346,1277,0.173836101
E02001157,4871,281,0.05768836
E02001158,4255,305,0.071680376
E02001159,3486,373,0.106999426
E02001160,4165,419,0.10060024
E02001161,4100,420,0.102439024
E02001162,4214,444,0.105363075
E02001163,6817,1131,0.165908758
E02001164,4221,351,0.08315565
E02001165,4366,448,0.102611086
E02001166,3582,790,0.22054718
E02001167,4006,766,0.19121318
E02001168,6548,774,0.118204032
E02001169,8108,2061,0.254193389
E02001170,6970,1950,0.279770445
E02001171,4226,548,0.12967345
E02001172,6309,681,0.107941037
E02001173,6473,633,0.097790823
E02001174,4203,703,0.16726148
E02001175,5044,605,0.119944489
E02001176,7203,1654,0.229626544
E02001177,7726,1263,0.163473984
E02001178,5343,1301,0.243496163
E02001179,4186,354,0.084567606
E02001180,4673,617,0.132035095
E02001181,3698,307,0.083017847
E02001182,4256,426,0.100093985
E02001183,4226,437,0.103407478
E02001184,4625,1108,0.239567568
E02001185,7200,681,0.094583333
E02001186,6276,537,0.085564054
E02001187,5352,527,0.098467862
E02001188,5169,483,0.093441672
E02001189,6330,851,0.134439179
E02001190,4383,242,0.055213324
E02001191,4324,692,0.160037003
E02001192,4734,1644,0.347275032
E02001193,4525,583,0.128839779
E02001194,4340,1731,0.398847926
E02001195,5614,698,0.124332027
E02001196,5495,1248,0.22711556
E02001197,4546,1240,0.272767268
E02001198,5335,736,0.137956888
E02001199,5891,2288,0.388389068
E02001200,4510,468,0.103769401
E02001201,4372,592,0.135407136
E02001202,4512,703,0.155806738
E02001203,4379,1684,0.384562686
E02001204,6566,1116,0.169966494
E02001205,5756,767,0.133252259
E02001206,5032,1296,0.257551669
E02001207,5371,973,0.181158071
E02001208,5193,1115,0.214712112
E02001209,5151,1144,0.222092798
E02001210,4922,510,0.103616416
E02001211,3961,1242,0.313557183
E02001212,3998,404,0.101050525
E02001213,6533,1633,0.249961733
E02001214,5186,1566,0.301966834
E02001215,4370,1103,0.252402746
E02001216,5383,1515,0.281441575
E02001217,4434,815,0.183806946
E02001218,4156,1394,0.335418672
E02001219,4257,1081,0.253934696
E02001220,4099,1038,0.253232496
E02001221,4466,1092,0.244514107
E02001222,4542,990,0.217965654
E02001223,5112,1853,0.362480438
E02001224,4348,967,0.222401104
E02001225,5228,1534,0.293420046
E02001226,4775,851,0.178219895
E02001227,4270,1429,0.334660422
E02001228,3892,1363,0.35020555
E02001229,6542,1202,0.183735861
E02001230,4506,773,0.171549046
E02001231,4496,582,0.129448399
E02001232,5473,606,0.110725379
E02001233,5337,521,0.097620386
E02001234,5157,517,0.100252085
E02001235,4601,742,0.161269289
E02001236,3830,323,0.084334204
E02001237,4317,502,0.116284457
E02001238,5424,544,0.100294985
E02001239,6413,492,0.076719164
E02001240,4699,374,0.079591402
E02001241,5721,527,0.092116763
E02001242,4282,499,0.11653433
E02001243,5844,1134,0.194045175
E02001244,4533,521,0.114934922
E02001245,5310,536,0.10094162
E02001246,4879,424,0.086903054
E02001247,4869,434,0.089135346
